Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,False,False,False,False,False,False,0,7,19,-76,False,2023-12-16 11:24:01.497224
False,False,True,False,False,False,False,3,7,19,-77,False,2023-12-16 11:24:16.514740
False,False,True,False,False,True,False,6,5,15,-62,False,2023-12-16 11:24:31.532672
False,False,True,True,False,True,False,4,3,11,-47,False,2023-12-16 11:24:46.552839
False,False,True,True,True,True,False,5,2,10,-44,False,2023-12-16 11:25:01.575282
False,True,True,True,True,True,False,2,1,5,-25,False,2023-12-16 11:25:16.601587
False,True,False,True,True,True,False,3,1,5,-24,False,2023-12-16 11:25:31.618543
True,True,False,True,True,True,False,1,0,0,5,True,2023-12-16 11:25:46.634459
False,False,False,False,False,True,False,6,4,13,-53,False,2023-12-16 11:26:01.676857
False,False,True,False,False,True,False,3,4,13,-54,False,2023-12-16 11:26:16.694650
False,True,True,False,False,True,False,2,3,8,-35,False,2023-12-16 11:26:31.713384
False,True,True,False,False,False,False,6,5,12,-50,False,2023-12-16 11:26:46.732299
False,True,True,False,False,False,True,7,3,8,-35,False,2023-12-16 11:27:01.769059
False,True,False,False,False,False,True,3,3,8,-34,False,2023-12-16 11:27:16.792441
False,False,False,False,False,False,True,2,4,13,-53,False,2023-12-16 11:27:31.816624
False,True,False,False,False,False,True,2,3,8,-34,False,2023-12-16 11:27:46.851261
False,True,False,True,False,False,True,4,2,6,-27,False,2023-12-16 11:28:01.885498
False,False,False,True,False,False,True,2,3,11,-46,False,2023-12-16 11:28:16.914014
False,False,False,True,False,True,True,6,3,11,-47,False,2023-12-16 11:28:31.951075
False,False,True,True,False,True,True,3,3,11,-48,False,2023-12-16 11:28:46.990301
True,False,True,True,False,True,True,1,2,6,-29,False,2023-12-16 11:29:02.033959
True,False,True,True,False,True,True,0,2,6,-29,False,2023-12-16 11:29:17.067308
True,False,False,True,False,True,True,3,2,6,-28,False,2023-12-16 11:29:32.108356
True,False,False,True,False,False,True,6,2,6,-27,False,2023-12-16 11:29:47.157633
True,False,True,True,False,False,True,3,2,6,-28,False,2023-12-16 11:30:02.215590
True,False,False,True,False,False,True,3,2,6,-27,False,2023-12-16 11:30:17.252276
