Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
False,False,False,False,False,True,False,5,4,13,-53,False,2023-12-17 22:58:30.702112
False,False,True,False,False,True,False,3,3,12,-50,False,2023-12-17 22:58:45.756991
True,False,True,False,False,True,False,1,2,7,-31,False,2023-12-17 22:59:00.816929
True,True,True,False,False,True,False,2,1,2,-12,False,2023-12-17 22:59:15.875248
True,True,True,False,False,True,False,0,1,2,-12,False,2023-12-17 22:59:30.939961
True,True,True,False,True,True,False,5,1,2,-13,False,2023-12-17 22:59:46.001828
True,True,False,False,True,True,False,3,1,2,-12,False,2023-12-17 23:00:01.069045
True,True,True,False,True,True,False,3,1,2,-13,False,2023-12-17 23:00:16.131946
True,True,True,False,True,True,False,0,1,2,-13,False,2023-12-17 23:00:31.188314
True,False,True,False,True,True,False,2,2,7,-32,False,2023-12-17 23:00:46.265550
True,False,True,False,False,True,False,5,2,7,-31,False,2023-12-17 23:01:01.337666
True,False,True,False,False,False,False,6,4,13,-54,False,2023-12-17 23:01:16.399330
True,False,False,False,False,False,False,3,6,17,-69,False,2023-12-17 23:01:31.458469
True,True,False,False,False,False,False,2,4,9,-38,False,2023-12-17 23:01:46.537151
True,True,False,True,False,False,False,4,3,7,-31,False,2023-12-17 23:02:01.606915
True,False,False,True,False,False,False,2,5,15,-62,False,2023-12-17 23:02:16.661051
True,False,False,True,True,False,False,5,4,14,-59,False,2023-12-17 23:02:31.715723
True,False,False,True,True,False,True,7,1,5,-24,False,2023-12-17 23:02:46.771995
True,False,False,True,True,True,True,6,1,5,-25,False,2023-12-17 23:03:01.830328
True,True,False,True,True,True,True,2,0,0,4,True,2023-12-17 23:03:16.888294
False,True,False,False,False,False,False,2,4,11,-45,False,2023-12-17 23:03:31.950708
False,True,True,False,False,False,False,3,4,13,-54,False,2023-12-17 23:03:47.004867
False,True,True,False,False,False,True,7,2,7,-31,False,2023-12-17 23:04:02.092259
False,True,True,False,False,True,True,6,2,7,-32,False,2023-12-17 23:04:17.145929
False,True,True,False,True,True,True,5,2,7,-33,False,2023-12-17 23:04:32.200659
False,True,True,True,True,True,True,4,1,5,-26,False,2023-12-17 23:04:47.256626
False,False,True,True,True,True,True,2,2,10,-45,False,2023-12-17 23:05:02.358476
False,False,True,False,True,True,True,4,3,12,-52,False,2023-12-17 23:05:17.414432
False,False,True,False,False,True,True,5,3,12,-51,False,2023-12-17 23:05:32.480045
False,False,False,False,False,True,True,3,4,13,-54,False,2023-12-17 23:05:47.568540
True,False,False,False,False,True,True,1,3,8,-35,False,2023-12-17 23:06:02.631387
True,False,False,False,False,True,True,0,3,8,-35,False,2023-12-17 23:06:17.689980
True,False,True,False,False,True,True,3,3,8,-36,False,2023-12-17 23:06:32.751243
True,True,True,False,False,True,True,2,2,3,-17,False,2023-12-17 23:06:47.818646
True,True,True,False,True,True,True,5,1,2,-14,False,2023-12-17 23:07:02.881149
True,True,True,True,True,True,True,4,0,0,3,False,2023-12-17 23:07:17.935064
True,False,True,True,True,True,True,2,1,5,-26,False,2023-12-17 23:07:33.003242
False,False,True,True,True,True,True,1,2,10,-45,False,2023-12-17 23:07:48.062241
False,True,True,True,True,True,True,2,1,5,-26,False,2023-12-17 23:08:03.117601
False,True,True,True,True,True,False,7,1,5,-25,False,2023-12-17 23:08:18.176076
False,True,True,True,True,True,False,0,1,5,-25,False,2023-12-17 23:08:33.235783
False,True,True,True,True,True,True,7,1,5,-26,False,2023-12-17 23:08:48.295776
False,True,False,True,True,True,True,3,1,5,-25,False,2023-12-17 23:09:03.360299
True,True,False,True,True,True,True,1,0,0,4,True,2023-12-17 23:09:18.427740
True,False,False,False,False,False,False,1,4,11,-45,False,2023-12-17 23:09:33.487069
True,False,True,False,False,False,False,3,6,17,-70,False,2023-12-17 23:09:48.566463
True,False,True,False,False,False,True,7,3,8,-35,False,2023-12-17 23:10:03.630377
True,False,True,False,True,False,True,5,2,7,-32,False,2023-12-17 23:10:18.687531
True,False,True,False,True,False,False,7,5,16,-67,False,2023-12-17 23:10:33.748216
False,False,True,False,True,False,False,1,6,21,-86,False,2023-12-17 23:10:48.815902
False,False,True,True,True,False,False,4,5,19,-79,False,2023-12-17 23:11:03.877180
False,False,False,True,True,False,False,3,5,19,-78,False,2023-12-17 23:11:18.940335
False,False,False,False,True,False,False,4,6,21,-85,False,2023-12-17 23:11:33.995761
False,False,False,False,True,True,False,6,3,12,-50,False,2023-12-17 23:11:49.066213
True,False,False,False,True,True,False,1,2,7,-31,False,2023-12-17 23:12:04.123307
True,False,True,False,True,True,False,3,2,7,-32,False,2023-12-17 23:12:19.188608
False,False,True,False,True,True,False,1,3,12,-51,False,2023-12-17 23:12:34.248107
False,False,True,False,True,True,False,0,3,12,-51,False,2023-12-17 23:12:49.304029
False,False,True,False,False,True,False,5,4,13,-54,False,2023-12-17 23:13:04.365380
False,False,True,False,False,True,False,0,4,13,-54,False,2023-12-17 23:13:19.428907
False,False,True,False,False,False,False,6,5,16,-65,False,2023-12-17 23:13:34.484302
False,False,True,False,False,False,True,7,4,13,-54,False,2023-12-17 23:13:49.548036
True,False,True,False,False,False,True,1,2,7,-31,False,2023-12-17 23:14:04.605807
True,False,True,False,False,False,True,0,2,7,-31,False,2023-12-17 23:14:19.675580
True,False,True,True,False,False,True,4,1,5,-24,False,2023-12-17 23:14:34.729227
True,False,True,False,False,False,True,4,2,7,-31,False,2023-12-17 23:14:49.790107
True,False,True,True,False,False,True,4,1,5,-24,False,2023-12-17 23:15:04.845307
False,False,True,True,False,False,True,1,3,11,-47,False,2023-12-17 23:15:19.910840
True,False,True,True,False,False,True,1,1,5,-24,False,2023-12-17 23:15:34.973717
True,False,False,True,False,False,True,3,2,6,-27,False,2023-12-17 23:15:50.029863
True,True,False,True,False,False,True,2,1,1,-8,False,2023-12-17 23:16:05.092220
True,True,False,True,False,True,True,6,1,1,-9,False,2023-12-17 23:16:20.148017
True,True,False,False,False,True,True,4,2,3,-16,False,2023-12-17 23:16:35.206628
True,True,True,False,False,True,True,3,1,2,-13,False,2023-12-17 23:16:50.263331
True,False,True,False,False,True,True,2,2,7,-32,False,2023-12-17 23:17:05.325700
True,False,True,False,True,True,True,5,2,7,-33,False,2023-12-17 23:17:20.385260
True,False,False,False,True,True,True,3,2,7,-32,False,2023-12-17 23:17:35.450993
True,False,False,False,False,True,True,5,3,8,-35,False,2023-12-17 23:17:50.522852
False,False,False,False,False,True,True,1,4,13,-54,False,2023-12-17 23:18:05.579229
False,False,False,False,True,True,True,5,3,12,-51,False,2023-12-17 23:18:20.633408
False,True,False,False,True,True,True,2,2,7,-32,False,2023-12-17 23:18:35.695042
False,True,False,False,True,True,False,7,2,7,-31,False,2023-12-17 23:18:50.750311
False,True,False,False,True,False,False,6,2,7,-30,False,2023-12-17 23:19:05.811067
False,True,True,False,True,False,False,3,4,13,-55,False,2023-12-17 23:19:20.876475
False,True,False,False,True,False,False,3,4,13,-54,False,2023-12-17 23:19:35.931539
False,True,False,False,True,True,False,6,2,7,-31,False,2023-12-17 23:19:50.990468
True,True,False,False,True,True,False,1,1,2,-12,False,2023-12-17 23:20:06.045338
True,True,True,False,True,True,False,3,1,2,-13,False,2023-12-17 23:20:21.100737
True,True,True,True,True,True,False,4,0,0,4,True,2023-12-17 23:20:36.167807
True,False,False,False,False,False,False,1,5,14,-57,False,2023-12-17 23:20:51.222756
True,False,False,True,False,False,False,4,4,12,-50,False,2023-12-17 23:21:06.280133
True,True,False,True,False,False,False,2,3,7,-31,False,2023-12-17 23:21:21.334007
True,True,False,True,False,False,True,7,1,1,-8,False,2023-12-17 23:21:36.400185
True,False,False,True,False,False,True,2,2,6,-27,False,2023-12-17 23:21:51.469677
True,False,False,True,False,True,True,6,2,6,-28,False,2023-12-17 23:22:06.545675
False,False,False,True,False,True,True,1,3,11,-47,False,2023-12-17 23:22:21.605965
False,False,False,True,True,True,True,5,2,10,-44,False,2023-12-17 23:22:36.661113
False,False,False,False,True,True,True,4,3,12,-51,False,2023-12-17 23:22:51.725101
False,False,False,True,True,True,True,4,2,10,-44,False,2023-12-17 23:23:06.786023
False,False,False,True,False,True,True,5,3,11,-47,False,2023-12-17 23:23:21.839718
False,False,False,True,False,True,False,7,3,11,-46,False,2023-12-17 23:23:36.903033
True,False,False,True,False,True,False,1,2,6,-27,False,2023-12-17 23:23:51.967482
True,False,False,False,False,True,False,4,3,8,-34,False,2023-12-17 23:24:07.027996
False,False,False,False,False,True,False,1,4,13,-53,False,2023-12-17 23:24:22.083727
False,False,False,False,False,True,True,7,4,13,-54,False,2023-12-17 23:24:37.138109
False,False,False,False,False,False,True,6,4,13,-53,False,2023-12-17 23:24:52.195608
False,False,False,False,True,False,True,5,3,12,-50,False,2023-12-17 23:25:07.257631
False,False,False,True,True,False,True,4,2,10,-43,False,2023-12-17 23:25:22.311654
False,False,False,True,True,True,True,6,2,10,-44,False,2023-12-17 23:25:37.374567
False,True,False,True,True,True,True,2,1,5,-25,False,2023-12-17 23:25:52.432347
True,True,False,True,True,True,True,1,0,0,4,True,2023-12-17 23:26:07.491645
True,False,False,False,False,False,False,1,5,14,-57,False,2023-12-17 23:26:22.545768
True,False,False,False,True,False,False,5,5,16,-66,False,2023-12-17 23:26:37.608135
True,False,False,True,True,False,False,4,4,14,-59,False,2023-12-17 23:26:52.671560
