Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
True,True,False,False,False,False,True,2,1,2,-11,False,2023-12-18 13:49:41.940022
True,False,False,False,False,False,True,2,2,7,-30,False,2023-12-18 13:49:56.998839
False,False,False,False,False,False,True,1,3,12,-49,False,2023-12-18 13:50:12.063891
False,False,True,False,False,False,True,3,0,0,8,True,2023-12-18 13:50:27.116680
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:50:42.174577
False,False,False,True,False,True,False,6,2,10,-42,False,2023-12-18 13:50:57.239961
False,True,False,True,False,True,False,2,1,5,-23,False,2023-12-18 13:51:12.304797
True,True,False,True,False,True,False,1,0,0,6,True,2023-12-18 13:51:27.367493
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:51:42.429033
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:51:57.486050
False,False,True,False,False,False,False,3,0,0,9,True,2023-12-18 13:52:12.548472
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:52:27.611479
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:52:42.676108
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:52:57.737871
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:53:12.791871
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:53:27.847616
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:53:42.904131
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:53:57.961698
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:54:13.023065
False,False,True,False,False,False,False,3,0,0,9,True,2023-12-18 13:54:28.085598
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:54:43.166534
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:54:58.224063
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:55:13.282177
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:55:28.333931
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:55:43.412828
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:55:58.472058
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:56:13.531876
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:56:28.590406
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:56:43.650662
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:56:58.715547
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:57:13.769792
False,False,True,True,False,False,False,3,0,0,8,True,2023-12-18 13:57:28.842415
False,False,False,True,False,False,False,4,2,10,-41,False,2023-12-18 13:57:43.897839
False,False,False,False,False,False,False,4,3,12,-48,False,2023-12-18 13:57:58.954311
False,False,False,False,False,False,False,0,3,12,-48,False,2023-12-18 13:58:14.008743
