Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Action,Number of Alerts,Sum of alert weights,Reward,Done,Timestamp
True,False,False,False,False,True,False,4,3,8,-34,False,2023-12-17 18:00:56.245695
True,False,False,False,True,True,False,5,2,7,-31,False,2023-12-17 18:01:11.314626
True,False,False,False,True,False,False,6,4,13,-54,False,2023-12-17 18:01:26.377843
False,False,False,False,True,False,False,1,6,21,-85,False,2023-12-17 18:01:41.435261
False,False,False,False,False,False,False,5,7,22,-88,False,2023-12-17 18:01:56.489774
False,False,False,False,False,True,False,6,5,16,-65,False,2023-12-17 18:02:11.544494
False,False,True,False,False,True,False,3,3,12,-50,False,2023-12-17 18:02:26.606971
False,False,True,False,True,True,False,5,3,12,-51,False,2023-12-17 18:02:41.666631
False,True,True,False,True,True,False,2,2,7,-32,False,2023-12-17 18:02:56.725373
False,False,True,False,True,True,False,2,3,12,-51,False,2023-12-17 18:03:11.806695
False,False,True,False,True,False,False,6,5,18,-74,False,2023-12-17 18:03:26.871983
False,False,False,False,True,False,False,3,6,21,-85,False,2023-12-17 18:03:41.937038
False,False,True,False,True,False,False,3,5,18,-74,False,2023-12-17 18:03:57.004539
False,False,True,False,True,True,False,6,3,12,-51,False,2023-12-17 18:04:12.087890
False,False,True,False,True,True,True,7,3,12,-52,False,2023-12-17 18:04:27.144038
False,False,True,False,False,True,True,5,3,12,-51,False,2023-12-17 18:04:42.207077
False,False,True,False,False,True,True,0,3,12,-51,False,2023-12-17 18:04:57.263435
False,True,True,False,False,True,True,2,2,7,-32,False,2023-12-17 18:05:12.324545
True,True,True,False,False,True,True,1,1,2,-13,False,2023-12-17 18:05:27.394451
True,True,True,False,False,True,True,0,1,2,-13,False,2023-12-17 18:05:42.456749
True,True,False,False,False,True,True,3,2,3,-16,False,2023-12-17 18:05:57.517042
True,True,False,False,True,True,True,5,1,2,-13,False,2023-12-17 18:06:12.579221
True,True,False,True,True,True,True,4,0,0,4,True,2023-12-17 18:06:27.639118
False,False,False,False,True,False,False,5,6,21,-85,False,2023-12-17 18:06:42.696097
False,False,False,False,True,True,False,6,3,12,-50,False,2023-12-17 18:06:57.768255
False,False,True,False,True,True,False,3,3,12,-51,False,2023-12-17 18:07:12.823665
False,False,True,True,True,True,False,4,2,10,-44,False,2023-12-17 18:07:27.886923
True,False,True,True,True,True,False,1,1,5,-25,False,2023-12-17 18:07:42.944643
True,False,True,True,False,True,False,5,1,5,-24,False,2023-12-17 18:07:58.012218
True,False,True,True,False,True,True,7,1,5,-25,False,2023-12-17 18:08:13.079530
True,False,False,True,False,True,True,3,2,6,-28,False,2023-12-17 18:08:28.154717
True,False,False,True,True,True,True,5,1,5,-25,False,2023-12-17 18:08:43.213320
True,False,True,True,True,True,True,3,1,5,-26,False,2023-12-17 18:08:58.276082
True,False,True,True,True,True,False,7,1,5,-25,False,2023-12-17 18:09:13.330887
True,False,True,True,False,True,False,5,1,5,-24,False,2023-12-17 18:09:28.391509
True,False,True,False,False,True,False,4,2,7,-31,False,2023-12-17 18:09:43.457853
True,False,True,True,False,True,False,4,1,5,-24,False,2023-12-17 18:09:58.522797
False,False,True,True,False,True,False,1,3,11,-47,False,2023-12-17 18:10:13.583747
False,False,True,True,False,True,False,0,3,11,-47,False,2023-12-17 18:10:28.641039
False,False,True,False,False,True,False,4,4,13,-54,False,2023-12-17 18:10:43.706214
False,False,True,True,False,True,False,4,3,11,-47,False,2023-12-17 18:10:58.766396
False,False,True,True,True,True,False,5,2,10,-44,False,2023-12-17 18:11:13.828345
False,True,True,True,True,True,False,2,1,5,-25,False,2023-12-17 18:11:28.884223
True,True,True,True,True,True,False,1,0,0,4,True,2023-12-17 18:11:43.950275
False,False,False,False,True,False,False,5,6,21,-85,False,2023-12-17 18:11:59.015718
False,False,False,False,True,False,True,7,3,12,-50,False,2023-12-17 18:12:14.084582
False,False,True,False,True,False,True,3,3,12,-51,False,2023-12-17 18:12:29.139452
False,False,True,False,False,False,True,5,4,13,-54,False,2023-12-17 18:12:44.195726
False,False,False,False,False,False,True,3,4,13,-53,False,2023-12-17 18:12:59.250149
False,False,False,False,False,False,False,7,7,22,-88,False,2023-12-17 18:13:14.315606
False,True,False,False,False,False,False,2,5,14,-57,False,2023-12-17 18:13:29.379533
False,True,False,False,False,True,False,6,3,8,-34,False,2023-12-17 18:13:44.444540
False,True,False,False,False,True,False,0,3,8,-34,False,2023-12-17 18:13:59.515573
False,True,False,True,False,True,False,4,2,6,-27,False,2023-12-17 18:14:14.575263
True,True,False,True,False,True,False,1,1,1,-8,False,2023-12-17 18:14:29.633823
True,True,False,True,True,True,False,5,0,0,5,True,2023-12-17 18:14:44.698735
False,False,False,False,True,False,False,5,6,21,-85,False,2023-12-17 18:14:59.767385
False,False,False,True,True,False,False,4,5,19,-78,False,2023-12-17 18:15:14.830309
False,True,False,True,True,False,False,2,3,11,-47,False,2023-12-17 18:15:29.897326
False,True,True,True,True,False,False,3,3,11,-48,False,2023-12-17 18:15:44.963634
False,True,True,True,True,True,False,6,1,5,-25,False,2023-12-17 18:16:00.059599
True,True,True,True,True,True,False,1,0,0,4,True,2023-12-17 18:16:15.118440
True,False,False,False,False,False,False,1,6,17,-69,False,2023-12-17 18:16:30.177262
True,False,False,False,False,False,True,7,3,8,-34,False,2023-12-17 18:16:45.231547
